,Scholl,Free education,Age,Class,District,Sex,Direction of education
0,2,1,18,11,1,female,Sports
1,1,1,18,11,2,female,Natural science
2,1,1,18,11,2,female,Natural science
3,2,1,18,8,3,female,Sports
4,2,1,18,8,4,female,Sports
5,2,1,18,8,5,male,Sports
6,2,1,18,8,6,female,Sports
7,1,1,17,11,2,female,Natural science
8,2,1,18,8,5,male,Sports
9,1,1,18,11,7,female,Technical
10,1,1,16,11,2,female,Sports
11,2,1,18,8,8,male,Sports
12,1,1,18,11,9,male,Sports
13,2,1,18,8,6,female,Sports
14,1,1,18,11,10,female,Sports
15,2,1,18,8,3,male,Artistic
16,1,1,18,11,6,female,Socio-pedagogical
17,2,1,18,8,11,male,Sports
18,2,1,18,8,4,male,Technical
19,1,1,16,10,12,male,Artistic
20,2,1,18,8,8,female,Sports
21,1,1,17,8,4,female,Tourism
22,1,1,18,11,13,male,Artistic
23,2,1,18,8,14,female,Sports
24,1,1,18,9,6,male,Natural science
25,1,1,18,8,3,female,Sports
26,2,1,18,8,8,female,Sports
27,2,1,18,8,3,male,Sports
28,2,1,18,8,10,male,Sports
29,2,1,18,8,2,male,Sports
30,1,1,18,8,6,male,Sports
31,1,1,17,11,10,female,Technical
32,2,1,18,8,11,male,Technical
33,2,1,18,8,10,female,Sports
34,1,1,17,11,14,male,Socio-pedagogical
35,2,1,18,8,6,female,Sports
36,1,1,17,8,8,female,Sports
37,1,1,18,8,8,female,Sports
38,2,1,17,8,10,male,Technical
39,2,1,18,8,3,male,Sports
40,1,1,17,8,1,male,Artistic
41,1,1,17,8,1,male,Artistic
42,1,1,17,11,6,female,Natural science
43,1,1,18,11,8,male,Sports
44,2,1,17,8,3,female,Sports
45,2,1,17,8,3,female,Artistic
46,2,1,17,8,6,female,Sports
47,2,1,17,8,6,female,Artistic
48,2,1,17,8,3,male,Sports
49,1,1,17,11,1,male,Socio-pedagogical
50,1,1,18,11,6,female,Socio-pedagogical
51,1,1,17,11,2,female,Natural science
52,1,1,17,8,3,female,Sports
53,1,1,16,11,2,female,Artistic
54,1,1,16,11,6,female,Socio-pedagogical
55,1,1,17,11,12,male,Socio-pedagogical
56,2,1,17,8,2,female,Sports
57,1,1,17,11,2,male,Socio-pedagogical
58,1,1,17,11,2,male,Socio-pedagogical
59,1,1,17,11,6,female,Socio-pedagogical
60,1,1,17,11,3,female,Socio-pedagogical
61,2,1,17,8,7,male,Sports
62,1,1,17,11,14,female,Natural science
63,2,1,17,8,2,male,Sports
64,1,1,17,11,13,female,Artistic
65,1,1,17,11,13,female,Artistic
66,1,1,17,10,2,female,Natural science
67,1,1,17,11,4,male,Socio-pedagogical
68,2,1,17,8,3,male,Sports
69,1,1,17,11,1,female,Tourism
70,2,1,18,8,4,male,Sports
71,1,1,17,11,2,female,Artistic
72,1,1,17,11,2,female,Tourism
73,1,1,17,11,2,female,Sports
74,1,1,17,11,6,female,Socio-pedagogical
75,2,1,17,11,7,female,Tourism
76,1,1,17,11,2,male,Sports
77,1,1,17,11,1,female,Sports
78,1,1,17,11,1,female,Sports
79,1,1,17,11,11,female,Socio-pedagogical
80,1,1,17,11,11,female,Socio-pedagogical
81,1,1,17,11,2,male,Technical
82,1,1,17,11,10,male,Natural science
83,1,1,17,11,6,female,Artistic
84,1,1,17,8,3,female,Artistic
85,2,1,17,8,3,female,Sports
86,2,1,17,11,3,female,Tourism
